
Epoch:   0%|                                                                                                                   | 0/5 [00:00<?, ?it/s]
0 159 	| 1.9991 	| 0.3125 	| tensor([13, 11,  9,  1,  1, 12,  2,  8, 14,  1], device='cuda:0')
0 160 	| 1.8546 	| 0.2812 	| tensor([ 1,  2,  9,  1, 10, 11,  5,  6,  5,  4], device='cuda:0')
0 161 	| 2.5626 	| 0.1562 	| tensor([ 3,  2, 11, 13, 12,  1,  8, 12,  4,  6], device='cuda:0')
0 162 	| 2.0278 	| 0.375 	| tensor([ 3,  1, 14,  1, 14,  2,  1,  1, 11,  4], device='cuda:0')
0 163 	| 1.925 	| 0.3125 	| tensor([ 2, 12,  2, 11,  6,  2,  8, 14,  6, 14], device='cuda:0')
0 164 	| 2.2815 	| 0.3438 	| tensor([13,  1,  2,  1,  1,  4,  8,  1, 10,  1], device='cuda:0')
0 165 	| 1.8866 	| 0.4062 	| tensor([ 5,  9, 12,  7, 13,  3,  7,  2,  7,  2], device='cuda:0')
0 166 	| 2.1933 	| 0.25 	| tensor([14, 14,  7,  8,  7,  8,  9,  8,  4,  6], device='cuda:0')
0 167 	| 1.8111 	| 0.3438 	| tensor([ 9,  7,  9,  8,  8, 13,  6,  3,  8,  2], device='cuda:0')
0 168 	| 1.9802 	| 0.2812 	| tensor([ 8,  4,  3, 12,  2,  6,  8,  9, 11,  7], device='cuda:0')
0 169 	| 2.2376 	| 0.2812 	| tensor([ 4, 11, 11, 11,  2, 13, 10, 14, 13,  5], device='cuda:0')
0 170 	| 1.6444 	| 0.4062 	| tensor([ 9,  8,  9, 13,  6,  5,  2,  7,  2,  8], device='cuda:0')
0 171 	| 2.1582 	| 0.2812 	| tensor([10,  7, 14,  3,  8,  8, 13,  8, 12,  9], device='cuda:0')
0 172 	| 1.88 	| 0.25 	| tensor([ 7,  2,  8, 14,  2,  7, 12,  8,  7,  8], device='cuda:0')
0 173 	| 1.9181 	| 0.3438 	| tensor([ 2, 10,  0,  7,  0,  7, 12,  8,  4, 10], device='cuda:0')
0 174 	| 1.9627 	| 0.3125 	| tensor([ 8,  5,  8,  9,  8,  4,  8, 14,  4,  7], device='cuda:0')
0 175 	| 2.5021 	| 0.2188 	| tensor([ 1,  3, 10,  7,  2,  2, 12,  8,  5,  5], device='cuda:0')
0 176 	| 2.3074 	| 0.1875 	| tensor([ 8,  2, 12, 14,  8, 12, 13,  1,  9, 12], device='cuda:0')
0 177 	| 1.6047 	| 0.375 	| tensor([ 8, 14,  8,  5,  5,  5,  1, 13,  8,  5], device='cuda:0')
0 178 	| 1.9159 	| 0.3438 	| tensor([11,  8,  4, 12, 14,  5,  7, 11,  5, 14], device='cuda:0')
0 179 	| 2.2265 	| 0.3125 	| tensor([12,  1, 11,  5,  3, 12,  2,  8, 11, 13], device='cuda:0')
0 180 	| 1.889 	| 0.3438 	| tensor([11,  7,  5,  2,  7, 11,  3, 11, 11, 11], device='cuda:0')
0 181 	| 2.0793 	| 0.3125 	| tensor([ 7, 14, 13,  7, 12,  2,  3, 13, 12,  5], device='cuda:0')
0 182 	| 1.772 	| 0.4688 	| tensor([ 2,  2,  7,  8, 14,  6,  2,  9, 12,  4], device='cuda:0')
