
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 161 	| 1.8683 	| 0.3438 	| tensor([10,  0, 10,  2,  9,  7,  4, 13,  0,  1], device='cuda:0')
0 162 	| 2.5889 	| 0.2188 	| tensor([11, 13, 13,  1,  2,  5, 11,  5, 11,  5], device='cuda:0')
0 163 	| 1.7629 	| 0.3125 	| tensor([10, 11,  2,  4,  3, 13,  1,  5, 12,  0], device='cuda:0')
0 164 	| 1.8018 	| 0.375 	| tensor([3, 4, 4, 5, 5, 4, 5, 1, 7, 2], device='cuda:0')
0 165 	| 2.1966 	| 0.1875 	| tensor([ 4,  5,  9,  5, 13, 13,  7,  1,  3,  5], device='cuda:0')
0 166 	| 1.695 	| 0.375 	| tensor([ 5,  1,  8,  5, 13, 11,  7,  3, 11, 14], device='cuda:0')
0 167 	| 2.0939 	| 0.2812 	| tensor([14, 13,  8,  7,  7, 13,  8,  2,  9, 10], device='cuda:0')
0 168 	| 2.6819 	| 0.25 	| tensor([ 1,  5, 10,  5,  7, 14,  7,  7,  5,  1], device='cuda:0')
0 169 	| 1.7607 	| 0.375 	| tensor([12,  7,  1,  6, 14, 10,  3, 13,  3, 13], device='cuda:0')
0 170 	| 2.3089 	| 0.3438 	| tensor([ 2,  7, 11,  7, 13, 13, 12,  5, 13,  8], device='cuda:0')
0 171 	| 1.9671 	| 0.3438 	| tensor([12, 13,  5, 14,  9, 11,  4, 13,  8,  8], device='cuda:0')
0 172 	| 2.1802 	| 0.25 	| tensor([ 5,  3,  3,  5, 13, 14, 11,  8, 10,  5], device='cuda:0')
0 173 	| 1.8018 	| 0.3125 	| tensor([ 0, 12,  0,  3,  1,  4,  3, 13,  0,  3], device='cuda:0')
0 174 	| 1.6338 	| 0.5312 	| tensor([ 8,  8,  5,  5, 13,  9, 10,  6,  5, 13], device='cuda:0')
0 175 	| 1.9817 	| 0.375 	| tensor([10, 10,  8, 10, 12,  5,  8,  8,  8,  5], device='cuda:0')
0 176 	| 2.1031 	| 0.375 	| tensor([ 0,  2, 10,  8,  8,  5,  5,  8,  5,  8], device='cuda:0')
0 177 	| 1.9639 	| 0.375 	| tensor([ 8,  0, 14,  1,  5, 14,  8,  4,  3,  3], device='cuda:0')
0 178 	| 2.2166 	| 0.4688 	| tensor([ 5, 10,  5, 12,  5,  4,  8,  5,  9,  4], device='cuda:0')
0 179 	| 2.0274 	| 0.3125 	| tensor([ 6,  8,  1,  5,  5, 10, 11,  5,  8,  9], device='cuda:0')
0 180 	| 1.7712 	| 0.3438 	| tensor([ 5,  7,  4,  3, 13, 14, 13,  3,  2,  2], device='cuda:0')
0 181 	| 1.8829 	| 0.375 	| tensor([ 1, 12,  8,  5,  2, 14,  3, 10,  0, 10], device='cuda:0')
0 182 	| 1.8288 	| 0.3438 	| tensor([13, 10,  8, 13,  8,  7, 14,  8, 11,  3], device='cuda:0')
0 183 	| 1.8676 	| 0.4062 	| tensor([10,  9, 11,  7,  0,  7,  5,  0,  5,  5], device='cuda:0')
0 184 	| 1.9253 	| 0.3438 	| tensor([ 6,  5,  7,  9, 12,  5,  1,  8,  0, 14], device='cuda:0')
0 185 	| 2.0753 	| 0.4062 	| tensor([ 5,  9, 13, 13, 14, 13,  3,  5, 13,  2], device='cuda:0')
0 186 	| 2.1738 	| 0.2188 	| tensor([ 7,  8,  6,  0, 12,  4,  4, 13,  7,  5], device='cuda:0')
0 187 	| 1.5428 	| 0.5312 	| tensor([ 5,  8,  3,  5, 13, 10,  8, 10,  2, 10], device='cuda:0')
0 188 	| 2.6203 	| 0.1562 	| tensor([ 6,  5, 10,  8, 13, 13,  9, 12,  7,  6], device='cuda:0')
0 189 	| 2.3187 	| 0.2188 	| tensor([12, 10,  9,  6,  6,  6,  7,  8, 13, 10], device='cuda:0')
0 190 	| 1.8834 	| 0.4062 	| tensor([ 1, 13,  3,  6,  0, 12,  7, 14,  9,  3], device='cuda:0')
0 191 	| 2.2841 	| 0.3438 	| tensor([ 6,  7, 14,  9,  4,  8,  8,  6,  5,  3], device='cuda:0')
0 192 	| 2.1264 	| 0.2812 	| tensor([ 5,  7, 11,  5,  3,  6,  7,  7,  7, 11], device='cuda:0')
0 193 	| 1.56 	| 0.4062 	| tensor([ 6,  6, 10,  6,  2,  4,  6, 13, 12,  2], device='cuda:0')
0 194 	| 1.6801 	| 0.4375 	| tensor([11, 12, 13, 11,  7,  6,  9, 10,  7,  6], device='cuda:0')
0 195 	| 1.9663 	| 0.3438 	| tensor([ 6,  1,  6,  1,  6,  6, 10,  3, 10, 13], device='cuda:0')
0 196 	| 1.9017 	| 0.4062 	| tensor([ 2,  2,  2,  6,  6,  6,  6,  4, 13, 11], device='cuda:0')
0 197 	| 1.8276 	| 0.3438 	| tensor([ 7,  2,  1, 10, 13,  6,  8, 14, 10,  7], device='cuda:0')
0 198 	| 1.8074 	| 0.2812 	| tensor([10,  6,  6,  6,  6,  8,  8,  6,  6,  4], device='cuda:0')
0 199 	| 1.5672 	| 0.4062 	| tensor([ 1, 10, 13,  6, 14,  6,  6,  8,  9,  6], device='cuda:0')
0 200 	| 2.1732 	| 0.375 	| tensor([ 6, 13,  5,  5, 14,  1, 11, 13, 10,  8], device='cuda:0')
0 201 	| 1.9342 	| 0.375 	| tensor([11,  5, 13,  5, 11,  8, 13,  6,  8, 12], device='cuda:0')
0 202 	| 1.8909 	| 0.4375 	| tensor([ 7, 12,  9,  9, 13,  8,  1,  6,  8,  8], device='cuda:0')
0 203 	| 1.5805 	| 0.5312 	| tensor([13,  7, 14, 11,  2,  5,  8,  2,  1,  6], device='cuda:0')
0 204 	| 1.6955 	| 0.4375 	| tensor([13, 13,  6,  5,  8,  7,  5,  5,  8, 11], device='cuda:0')
0 205 	| 1.777 	| 0.3438 	| tensor([ 0,  5, 11, 11,  1,  7,  8,  7,  7, 10], device='cuda:0')
0 206 	| 1.7026 	| 0.4062 	| tensor([ 7,  9,  7,  8,  7,  4,  7, 13,  5,  9], device='cuda:0')
0 207 	| 2.0485 	| 0.3438 	| tensor([ 1, 10,  5,  5, 11, 11, 12,  5, 14,  5], device='cuda:0')
0 208 	| 1.7688 	| 0.4375 	| tensor([ 7,  7,  5,  7, 10,  4, 10,  5,  8,  6], device='cuda:0')
0 209 	| 1.8859 	| 0.2812 	| tensor([ 5,  4, 11,  5,  3,  1, 13,  7,  9,  4], device='cuda:0')
0 210 	| 1.4941 	| 0.4062 	| tensor([ 3, 11,  6,  8,  7, 11,  7,  8, 11,  7], device='cuda:0')
0 211 	| 1.9331 	| 0.4375 	| tensor([ 3,  3,  1, 14, 13,  4,  7,  5,  4,  9], device='cuda:0')
