
Epoch:   0%|                                                                                                                  | 0/10 [00:00<?, ?it/s]
0 109 	| 1.7582 	| 0.3438 	| tensor([13,  7, 13,  7,  7,  5,  7, 11, 11, 10], device='cuda:0')
0 110 	| 1.8093 	| 0.2812 	| tensor([10, 13,  6,  1, 13, 11,  8,  7, 14,  7], device='cuda:0')
0 111 	| 1.9014 	| 0.4375 	| tensor([13,  4, 12, 10,  4, 10,  1,  3,  9,  3], device='cuda:0')
0 112 	| 1.6867 	| 0.4688 	| tensor([ 1,  1,  1, 13, 10,  5, 11,  2,  4,  7], device='cuda:0')
0 113 	| 1.8282 	| 0.5 	| tensor([ 7, 10,  6,  1, 12, 13,  7,  4,  5,  5], device='cuda:0')
0 114 	| 1.9701 	| 0.3125 	| tensor([ 1, 12,  7,  8, 12,  1,  9,  1, 14,  1], device='cuda:0')
0 115 	| 1.9155 	| 0.3438 	| tensor([11, 11, 10,  9, 11,  9,  6, 13,  4,  6], device='cuda:0')
0 116 	| 2.0091 	| 0.375 	| tensor([ 7,  6, 10,  1, 10,  8,  1,  2,  6,  3], device='cuda:0')
0 117 	| 2.159 	| 0.3125 	| tensor([12,  9, 11,  1,  8, 10,  4,  3, 11, 12], device='cuda:0')
0 118 	| 1.8862 	| 0.4062 	| tensor([ 1, 14,  1,  3, 11, 13, 10, 12,  3, 10], device='cuda:0')
0 119 	| 2.5057 	| 0.2188 	| tensor([14,  1, 13,  2,  7,  1,  8,  7,  9,  3], device='cuda:0')
0 120 	| 2.118 	| 0.3125 	| tensor([10, 12, 11,  2, 13,  8,  9,  7,  7, 10], device='cuda:0')
0 121 	| 2.2113 	| 0.25 	| tensor([ 1, 11,  9,  7, 10,  1,  9, 13, 11,  5], device='cuda:0')
0 122 	| 2.0676 	| 0.2812 	| tensor([ 2,  5,  1, 12,  1,  6,  6, 11, 11,  8], device='cuda:0')
0 123 	| 1.8263 	| 0.3125 	| tensor([10,  4,  4,  8,  1,  6, 12,  8, 12, 11], device='cuda:0')
0 124 	| 1.9791 	| 0.25 	| tensor([ 1, 11,  7,  6,  1, 11,  5, 11,  1, 14], device='cuda:0')
0 125 	| 1.7827 	| 0.375 	| tensor([ 7, 11, 10, 12,  6,  5, 11,  4,  1,  8], device='cuda:0')
0 126 	| 2.0233 	| 0.3438 	| tensor([12,  5,  5, 11,  2, 12,  1,  2,  2,  5], device='cuda:0')
0 127 	| 1.7087 	| 0.375 	| tensor([ 2,  1,  2,  3,  2,  1, 14, 11,  7, 14], device='cuda:0')
0 128 	| 2.0996 	| 0.25 	| tensor([ 4, 12,  1,  5,  9,  2,  1,  0,  1, 11], device='cuda:0')
0 129 	| 1.8816 	| 0.3125 	| tensor([11, 11,  0,  1, 10,  0,  5,  7,  4, 10], device='cuda:0')
0 130 	| 1.6268 	| 0.4688 	| tensor([ 0,  5, 10,  5, 14,  5,  3, 11, 11,  7], device='cuda:0')
0 131 	| 1.8362 	| 0.375 	| tensor([ 0,  2,  3,  2,  5,  4, 12,  9, 14, 14], device='cuda:0')
0 132 	| 1.9191 	| 0.2812 	| tensor([ 8,  5, 14,  9,  6,  4,  5,  7,  9,  4], device='cuda:0')
0 133 	| 2.0384 	| 0.2812 	| tensor([ 1, 13, 14, 11,  1, 12,  4, 10,  2, 11], device='cuda:0')
0 134 	| 2.3187 	| 0.1562 	| tensor([ 5,  4, 11,  4,  6, 13,  7, 11,  2,  0], device='cuda:0')
0 135 	| 1.6722 	| 0.4062 	| tensor([11, 14, 13,  6,  0,  7, 11,  7,  8,  5], device='cuda:0')
0 136 	| 1.7371 	| 0.3438 	| tensor([ 6,  3, 13, 13, 10, 14, 10,  6,  5,  5], device='cuda:0')
0 137 	| 2.1644 	| 0.25 	| tensor([ 4,  5,  6, 13,  4, 13, 11,  1, 13,  6], device='cuda:0')
0 138 	| 2.0702 	| 0.25 	| tensor([ 9, 13,  7,  1, 10,  4, 13,  9, 14,  7], device='cuda:0')
0 139 	| 1.9003 	| 0.5 	| tensor([13,  1,  6,  4,  6,  3,  1,  6,  3,  8], device='cuda:0')
0 140 	| 1.8761 	| 0.3125 	| tensor([11, 10,  1,  3, 11, 13,  2, 14,  1,  1], device='cuda:0')
0 141 	| 2.1507 	| 0.3438 	| tensor([10, 13,  4,  4, 13,  4, 11,  1,  6, 14], device='cuda:0')
0 142 	| 1.8424 	| 0.3438 	| tensor([13, 13,  1,  5,  1,  9,  4,  6,  3,  5], device='cuda:0')
0 143 	| 2.4143 	| 0.2188 	| tensor([ 1, 14,  1,  8,  5,  7, 13, 11,  2, 11], device='cuda:0')
0 144 	| 2.1044 	| 0.3438 	| tensor([14, 13, 14, 13,  1, 10,  6,  8,  1, 11], device='cuda:0')
0 145 	| 1.8031 	| 0.2812 	| tensor([ 6,  4,  8,  7,  4,  6, 14, 12,  9, 14], device='cuda:0')
0 146 	| 2.0322 	| 0.3438 	| tensor([ 2,  3,  6,  8,  4, 12, 14,  3, 10, 11], device='cuda:0')
0 147 	| 1.8648 	| 0.3438 	| tensor([ 4,  6, 13,  3, 12,  4, 12, 11,  6, 11], device='cuda:0')
0 148 	| 1.8028 	| 0.375 	| tensor([ 5,  1,  6,  9,  4,  4, 12, 13,  3,  8], device='cuda:0')
0 149 	| 1.6237 	| 0.375 	| tensor([ 6,  5, 12, 14,  2,  7,  8,  7,  2,  2], device='cuda:0')
0 150 	| 1.7883 	| 0.4375 	| tensor([ 2,  3,  8,  4,  7, 10, 11, 12,  6,  7], device='cuda:0')
0 151 	| 1.7488 	| 0.5 	| tensor([14,  1, 11,  8,  3, 11,  8, 10,  4,  8], device='cuda:0')
0 152 	| 2.0456 	| 0.375 	| tensor([ 8,  1,  2, 14,  0,  8, 12,  8,  1,  6], device='cuda:0')
0 153 	| 1.9341 	| 0.4375 	| tensor([12, 10,  6,  6, 11,  6, 14,  3,  2,  8], device='cuda:0')
0 154 	| 1.5239 	| 0.4688 	| tensor([10,  2,  6, 12,  5,  9, 10, 11, 11, 12], device='cuda:0')
0 155 	| 2.1931 	| 0.375 	| tensor([ 4,  8,  1,  6, 14,  6, 13,  3,  9,  8], device='cuda:0')
0 156 	| 1.7272 	| 0.4688 	| tensor([11,  8, 13,  6,  8, 10,  2,  6,  9,  8], device='cuda:0')
0 157 	| 1.5594 	| 0.6875 	| tensor([11,  8, 13,  9, 10,  1, 12, 14, 13, 10], device='cuda:0')
0 158 	| 2.3881 	| 0.25 	| tensor([ 8, 10,  9, 12, 13,  5,  3,  7,  6,  8], device='cuda:0')
0 159 	| 2.1853 	| 0.25 	| tensor([11, 14,  6, 10, 12,  8, 13,  3,  3,  1], device='cuda:0')
0 160 	| 1.7438 	| 0.5 	| tensor([12,  7,  8, 13,  6, 12,  8,  1,  5,  4], device='cuda:0')
0 161 	| 1.6586 	| 0.5 	| tensor([ 4,  1,  7,  1,  5,  8, 11,  6,  1,  9], device='cuda:0')
0 162 	| 1.8509 	| 0.4062 	| tensor([13,  8,  8,  4,  5,  5,  2,  8,  6, 10], device='cuda:0')
0 163 	| 1.9532 	| 0.375 	| tensor([ 8, 13, 13,  3,  6,  9,  8,  4, 10,  8], device='cuda:0')
0 164 	| 1.9294 	| 0.2812 	| tensor([ 4, 10,  7,  9, 13,  1, 10,  0,  6,  8], device='cuda:0')
0 165 	| 2.0289 	| 0.2812 	| tensor([ 8, 11,  3, 12, 14,  8, 11,  6,  9,  2], device='cuda:0')
0 166 	| 1.8623 	| 0.375 	| tensor([ 0,  6,  4,  0,  9,  4, 13,  6,  4,  1], device='cuda:0')
0 167 	| 1.5876 	| 0.4688 	| tensor([ 8,  8, 10,  9,  1,  4,  1, 10, 13, 12], device='cuda:0')
0 168 	| 1.654 	| 0.4375 	| tensor([13,  9,  1, 10, 10,  9, 11,  4,  2,  9], device='cuda:0')
0 169 	| 2.4167 	| 0.2812 	| tensor([12,  9, 13, 11, 11,  9, 10, 12, 14,  2], device='cuda:0')
0 170 	| 1.8014 	| 0.4062 	| tensor([ 6, 10,  6, 10,  2, 14,  1,  4, 12,  4], device='cuda:0')
0 171 	| 1.9853 	| 0.4062 	| tensor([ 9,  3,  7, 11,  6, 11,  7,  4,  6,  3], device='cuda:0')
0 172 	| 1.9802 	| 0.4062 	| tensor([ 5,  1, 12, 14, 10,  4,  4,  6, 14, 13], device='cuda:0')
0 173 	| 1.83 	| 0.375 	| tensor([11,  6,  7, 12, 10, 12, 13,  9,  8,  6], device='cuda:0')
0 174 	| 1.6873 	| 0.4688 	| tensor([ 9,  2,  9,  4, 12, 13, 11, 10, 10,  4], device='cuda:0')
0 175 	| 2.0242 	| 0.3125 	| tensor([ 2,  2,  6, 10,  3,  6,  6,  6,  4, 11], device='cuda:0')
0 176 	| 1.9705 	| 0.25 	| tensor([ 5,  7,  9, 12,  7, 11,  9,  7,  2,  8], device='cuda:0')
0 177 	| 1.6997 	| 0.4062 	| tensor([ 4, 12,  6,  2, 12,  7,  9,  9,  7,  1], device='cuda:0')
0 178 	| 2.1365 	| 0.25 	| tensor([ 1,  3, 13,  2,  1,  6,  8,  7, 11,  5], device='cuda:0')
0 179 	| 1.8573 	| 0.25 	| tensor([12, 11, 11,  4,  6,  2, 12,  2, 11,  7], device='cuda:0')
0 180 	| 1.9602 	| 0.3125 	| tensor([10, 11,  2,  2, 14, 12,  5,  2,  4,  4], device='cuda:0')
0 181 	| 2.2927 	| 0.3438 	| tensor([ 7,  4,  3,  2,  8, 10, 14,  4,  1,  8], device='cuda:0')
0 182 	| 1.7909 	| 0.5 	| tensor([10, 12,  2,  8, 11,  8,  3,  2,  3,  7], device='cuda:0')
0 183 	| 1.9746 	| 0.2812 	| tensor([ 3,  2,  1,  8,  4,  2, 14,  1,  1,  5], device='cuda:0')
0 184 	| 2.2361 	| 0.1875 	| tensor([11,  7,  1, 10,  8, 13, 14,  3,  0, 10], device='cuda:0')
0 185 	| 2.174 	| 0.25 	| tensor([ 2,  9, 13,  6,  3, 10, 10,  2,  8, 13], device='cuda:0')
0 186 	| 2.2596 	| 0.3125 	| tensor([ 3,  2,  8,  5,  3,  1,  6,  8,  8, 14], device='cuda:0')
0 187 	| 1.9401 	| 0.4375 	| tensor([ 3, 14, 12, 12,  1,  2,  6,  8,  5,  8], device='cuda:0')
0 188 	| 1.7013 	| 0.4375 	| tensor([13,  8,  8,  1,  1,  3,  4,  0,  8,  3], device='cuda:0')
0 189 	| 1.984 	| 0.3438 	| tensor([14,  8, 12,  3, 13, 11,  3, 10,  1, 11], device='cuda:0')
0 190 	| 2.0402 	| 0.2812 	| tensor([12,  8, 11,  6,  8,  5,  9,  1,  8, 10], device='cuda:0')
0 191 	| 2.7121 	| 0.375 	| tensor([ 6, 13, 10,  6,  6,  8,  8,  0, 11,  6], device='cuda:0')
0 192 	| 1.4572 	| 0.4688 	| tensor([ 5,  5, 13,  6,  6,  6,  8, 13,  8,  7], device='cuda:0')
0 193 	| 2.6284 	| 0.2812 	| tensor([12,  6,  3, 13,  6,  6, 13, 14,  8, 10], device='cuda:0')
0 194 	| 1.8392 	| 0.4688 	| tensor([14,  7,  3, 12, 13, 13,  1, 13,  4,  6], device='cuda:0')
0 195 	| 1.8468 	| 0.4375 	| tensor([13, 12, 10,  6,  4,  9,  0, 12, 13,  9], device='cuda:0')
0 196 	| 1.7051 	| 0.5938 	| tensor([ 9, 13,  8, 12,  8,  9, 10,  7,  8, 12], device='cuda:0')
0 197 	| 1.4342 	| 0.5 	| tensor([ 8,  8,  9,  8,  5, 12,  6,  1,  8, 12], device='cuda:0')
0 198 	| 1.1671 	| 0.5 	| tensor([ 2, 10,  8,  3,  2,  1,  3,  6,  6, 12], device='cuda:0')
0 199 	| 1.7652 	| 0.4688 	| tensor([ 3,  5,  7,  3, 10,  7,  4,  2,  0,  8], device='cuda:0')
0 200 	| 2.4183 	| 0.2188 	| tensor([10,  0, 12,  3,  8,  3,  8,  0,  6,  5], device='cuda:0')
0 201 	| 2.1488 	| 0.375 	| tensor([ 3, 12, 10,  7,  6,  8,  5,  4, 10, 13], device='cuda:0')
0 202 	| 2.1331 	| 0.25 	| tensor([ 8,  6, 12,  1, 12,  2,  8,  5, 11, 12], device='cuda:0')
0 203 	| 1.9476 	| 0.2812 	| tensor([ 8, 13, 13,  0,  9, 12,  0, 14,  2,  6], device='cuda:0')
0 204 	| 2.1267 	| 0.3125 	| tensor([ 3,  3,  3, 10,  7,  1,  8,  4,  4,  8], device='cuda:0')
0 205 	| 1.833 	| 0.375 	| tensor([ 0,  8, 14,  8,  7,  0, 12,  7, 14,  8], device='cuda:0')
0 206 	| 1.8428 	| 0.5312 	| tensor([ 7,  5, 12,  0,  8,  2,  8,  9,  8,  2], device='cuda:0')
0 207 	| 2.1235 	| 0.2812 	| tensor([ 5, 14,  7,  4,  4,  3,  8,  8, 12,  6], device='cuda:0')
0 208 	| 1.7738 	| 0.2812 	| tensor([ 5,  5,  0, 12, 12,  0, 12,  8,  0,  8], device='cuda:0')
0 209 	| 2.0515 	| 0.2812 	| tensor([ 6,  1,  5, 10,  6, 12,  8, 12,  0, 13], device='cuda:0')
0 210 	| 2.0388 	| 0.2812 	| tensor([12,  0,  6,  0,  7,  7, 10,  5,  1, 14], device='cuda:0')
0 211 	| 1.4531 	| 0.4375 	| tensor([ 9,  8,  7, 10,  0, 12,  6, 12,  2, 14], device='cuda:0')
